#   T1  T2  T3  T4  T5  T6  T7  T8  t
	43.23	43.36	42.45	42.50	47.63	45.42	43.99	32.28	144.0000
	43.11	43.12	42.18	42.33	47.29	45.11	43.67	32.36	146.0000
	42.99	42.90	41.92	42.17	46.95	44.81	43.36	32.45	148.0000
	42.88	42.69	41.69	42.01	46.62	44.52	43.06	32.52	150.0000
	42.76	42.50	41.48	41.85	46.32	44.25	42.77	32.59	152.0000
	42.66	42.31	41.28	41.70	46.01	43.99	42.50	32.66	154.0000
	42.54	42.15	41.09	41.54	45.71	43.74	42.23	32.72	156.0000
	42.43	41.98	40.91	41.40	45.42	43.50	41.97	32.77	158.0000
	42.32	41.84	40.75	41.25	45.14	43.28	41.73	32.83	160.0000
	42.21	41.70	40.60	41.11	44.87	43.06	41.49	32.88	162.0000
	42.11	41.57	40.46	40.97	44.61	42.85	41.26	32.93	164.0000
	42.00	41.44	40.33	40.84	44.35	42.66	41.05	32.97	166.0000
	41.89	41.32	40.21	40.71	44.10	42.47	40.85	33.02	168.0000
	41.80	41.21	40.09	40.57	43.87	42.28	40.65	33.05	170.0000
	41.70	41.11	39.98	40.44	43.63	42.10	40.46	33.08	172.0000
	41.60	41.01	39.88	40.32	43.40	41.93	40.27	33.11	174.0000
	41.50	40.91	39.79	40.20	43.19	41.78	40.10	33.14	176.0000
	41.40	40.82	39.70	40.09	42.99	41.62	39.94	33.17	178.0000
	41.31	40.74	39.61	39.98	42.79	41.47	39.78	33.19	180.0000
	41.23	40.66	39.54	39.87	42.59	41.33	39.64	33.22	182.0000
	41.14	40.59	39.46	39.76	42.40	41.19	39.50	33.23	184.0000
	41.05	40.51	39.40	39.65	42.22	41.06	39.36	33.25	186.0000
	40.97	40.45	39.33	39.55	42.05	40.94	39.23	33.27	188.0000
	40.88	40.38	39.27	39.46	41.88	40.82	39.11	33.28	190.0000
	40.80	40.32	39.21	39.36	41.72	40.70	38.99	33.29	192.0000
	40.72	40.26	39.16	39.27	41.57	40.60	38.88	33.30	194.0000
	40.64	40.21	39.11	39.18	41.42	40.49	38.77	33.32	196.0000
	40.57	40.15	39.06	39.09	41.27	40.39	38.67	33.32	198.0000
	40.49	40.09	39.01	39.00	41.13	40.29	38.58	33.32	200.0000
	40.42	40.05	38.97	38.91	40.99	40.23	38.49	33.33	202.0000
	40.35	40.12	39.09	38.83	40.87	40.62	38.41	33.33	204.0000
	40.28	40.47	39.55	38.76	40.83	41.61	38.34	33.33	206.0000
	40.23	41.07	40.30	38.71	40.92	42.86	38.31	33.34	208.0000
	40.21	41.83	41.22	38.69	41.17	44.17	38.35	33.33	210.0000
	40.21	42.65	42.23	38.73	41.52	45.45	38.46	33.33	212.0000
	40.29	43.51	43.25	38.82	41.96	46.65	38.66	33.33	214.0000
	40.39	44.36	44.27	38.96	42.46	47.77	38.93	33.33	216.0000
	40.54	45.19	45.24	39.15	43.00	48.82	39.26	33.33	218.0000
	40.72	45.99	46.18	39.37	43.56	49.79	39.65	33.33	220.0000
	40.94	46.75	47.06	39.63	44.15	50.69	40.08	33.33	222.0000
	41.17	47.48	47.90	39.91	44.73	51.53	40.53	33.33	224.0000
	41.43	48.17	48.67	40.19	45.31	52.31	41.02	33.33	226.0000
	41.70	48.83	49.41	40.51	45.91	53.05	41.51	33.33	228.0000
	41.97	49.45	50.11	40.84	46.51	53.75	42.02	33.33	230.0000
	42.27	50.04	50.76	41.17	47.09	54.42	42.54	33.34	232.0000
	42.56	50.61	51.37	41.51	47.67	55.04	43.06	33.35	234.0000
	42.86	51.13	51.95	41.84	48.25	55.64	43.57	33.36	236.0000
	43.16	51.64	52.49	42.19	48.81	56.21	44.08	33.37	238.0000
	43.47	52.12	53.00	42.53	49.36	56.75	44.59	33.39	240.0000
	43.78	52.59	53.49	42.87	49.91	57.27	45.08	33.41	242.0000
	44.08	53.02	53.93	43.21	50.44	57.77	45.56	33.43	244.0000
	44.39	53.44	54.37	43.54	50.96	58.25	46.04	33.46	246.0000
	44.70	53.84	54.77	43.87	51.47	58.71	46.51	33.49	248.0000
	45.00	54.23	55.16	44.20	51.97	59.15	46.96	33.52	250.0000
	45.31	54.59	55.52	44.53	52.46	59.58	47.40	33.56	252.0000
	45.61	54.95	55.86	44.85	52.94	59.99	47.82	33.60	254.0000
	45.90	55.28	56.20	45.16	53.41	60.39	48.24	33.65	256.0000
	46.20	55.61	56.52	45.47	53.86	60.78	48.64	33.70	258.0000
	46.49	55.92	56.82	45.77	54.31	61.15	49.03	33.76	260.0000
	46.78	56.23	57.11	46.07	54.74	61.51	49.41	33.81	262.0000
	47.07	56.52	57.39	46.37	55.16	61.86	49.78	33.87	264.0000
	47.36	56.80	57.65	46.66	55.57	62.20	50.12	33.94	266.0000
	47.64	57.08	57.90	46.95	55.97	62.53	50.47	34.00	268.0000
	47.92	57.34	58.15	47.23	56.37	62.85	50.80	34.07	270.0000
	48.19	57.60	58.38	47.51	56.75	63.16	51.13	34.15	272.0000
	48.46	57.85	58.61	47.78	57.12	63.47	51.44	34.22	274.0000
	48.73	58.09	58.81	48.03	57.48	63.75	51.74	34.30	276.0000
	48.99	58.33	59.03	48.30	57.83	64.03	52.03	34.37	278.0000
